编号,身高/cm,体重/kg
1,167.09,56.5
2,181.65,68.24
3,176.27,76.51
4,173.27,71.17
5,172.18,72.15
6,174.49,61.65
7,177.3,70.75
8,177.84,68.23
9,172.47,56.19
10,169.63,60.33
11,168.88,63.73
12,171.76,57.07
13,173.49,62.81
14,170.48,61.23
15,173.43,58.04
16,180.57,70.0
17,168.81,64.75
18,174.37,71.49
19,180.93,68.95
20,170.51,62.02
21,172.3,70.64
22,174.95,71.77
23,161.24,48.95
24,173.79,64.75
25,171.78,70.93
26,170.71,64.86
27,179.94,71.21
28,171.44,65.78
29,169.0,54.17
30,166.22,56.95
31,176.59,51.65
32,167.17,60.38
33,172.25,62.89
34,179.31,68.11
35,182.38,70.05
36,175.78,64.37
37,169.68,70.9
38,171.85,60.62
39,172.23,65.67
40,162.68,53.36
41,174.18,62.18
42,165.57,62.43
43,176.93,69.84
44,172.64,68.68
45,167.59,53.22
46,174.43,64.38
47,169.88,72.84
48,171.95,58.41
49,177.35,71.81
50,175.48,67.47
51,177.58,73.51
52,171.02,63.16
53,178.48,62.74
54,175.52,57.85
55,166.07,61.74
56,178.27,73.95
57,178.83,77.95
58,169.02,64.04
59,168.57,59.69
60,171.54,66.91
61,168.92,64.37
62,175.26,68.77
63,173.49,64.88
64,170.21,64.41
65,179.85,67.66
66,173.28,54.81
67,175.41,71.23
68,172.04,66.37
69,170.73,51.76
70,171.11,62.36
71,165.79,64.66
72,179.94,67.01
73,177.61,70.2
74,163.28,51.42
75,173.34,64.26
76,168.55,60.15
77,173.64,69.3
78,166.31,66.48
79,177.09,57.81
80,172.02,61.26
81,174.34,67.31
82,169.63,60.95
83,177.93,77.69
84,168.35,64.47
85,175.77,64.55
86,175.6,69.74
87,171.11,70.45
88,178.04,65.8
89,178.25,60.56
90,173.29,65.76
91,173.05,68.27
92,178.42,70.74
93,181.58,70.31
94,175.78,56.07
95,177.96,66.73
96,179.21,65.9
97,168.37,60.01
98,161.1,61.55
99,169.59,64.07
